ObjectID,LICENSED_CERTIFIED,FLAG,T18_19,FACID,FAC_STATUS_TYPE_CODE,ASPEN_FACID,CCN,TERMINAT_SW,PARTICIPATION_DATE,APPROVAL_DATE,NPI,CAN_BE_DEEMED_FAC_TYPE,CAN_BE_CERTIFIED_FAC_TYPE,DEEMED,AO_CD,DMG_EFCTV_DT,AO_TRMNTN_DT,AO_NAME,FACNAME,FAC_TYPE_CODE,FAC_FDR,LTC,CAPACITY,ADDRESS,CITY,ZIP,ZIP9,FACADMIN,CONTACT_EMAIL,CONTACT_FAX,CONTACT_PHONE_NUMBER,COUNTY_CODE,COUNTY_NAME,DISTRICT_NUMBER,DISTRICT_NAME,ISFACMAIN,PARENT_FACID,FAC_FAC_RELATIONSHIP_TYPE_CODE,START_DATE,LICENSE_NUMBER,BUSINESS_NAME,LICENSE_STATUS_DESCRIPTION,INITIAL_LICENSE_DATE,LICENSE_EFFECTIVE_DATE,LICENSE_EXPIRATION_DATE,ENTITY_TYPE_DESCRIPTION,LATITUDE,LONGITUDE,LOCATION,CCLHO_CODE,CCLHO_NAME,FIPS_COUNTY_CODE,BIRTHING_FACILITY_FLAG,TRAUMA_PED_CTR,TRAUMA_CTR,TYPE_OF_CARE,CRITICAL_ACCESS_HOSPITAL,DATA_DATE,HCAI_ID,x,y
151554,LICENSED AND CERTIFIED,,,60000035,OPEN,CA06000035,50779,,2015-06-30 0:00:00,2023-06-24 0:00:00,1114367497,Y,Y,1,1,2024-09-14 0:00:00,,JC,"MARTIN LUTHER KING, JR. COMMUNITY HOSPITAL",GACH,GENERAL ACUTE CARE HOSPITAL,NON-LTC,131,1680 EAST 120TH STREET,LOS ANGELES,90059,3019,"BATCHLOR, ELAINE E",EDELEON@MLKCH.ORG,,(909) 374-3979,200,LOS ANGELES,6,ORANGE,Y,,PARENT,,60000132,MARTIN LUTHER KING JR HEALTHCARE CORPORATION,ACTIVE,,2025-03-01 0:00:00,2026-02-28 0:00:00,NONPROFIT CORP,33.924186,-118.244151,"(-118.244151,33.924186)",19,LOS ANGELES,6037,YES,,,,,2026-01-16 0:00:00,106191230,6487597.232,1794881.749
151556,LICENSED AND CERTIFIED,,,60000040,OPEN,CA060000040,50373,,1966-07-01 0:00:00,2024-01-23 0:00:00,1093728743,Y,Y,1,1,2023-03-04 0:00:00,,JC,LOS ANGELES GENERAL MEDICAL CENTER,GACH,GENERAL ACUTE CARE HOSPITAL,NON-LTC,600,"2051 MARENGO ST, ROOM C2K100",LOS ANGELES,90033,1352,"OROZCO, JORGE",MTORRES7@DHS.LACOUNTY.GOV,,(323) 409-7572,200,LOS ANGELES,6,ORANGE,Y,,PARENT,,60000130,LOS ANGELES COUNTY DEPARTMENT OF HEALTH SERVICES,ACTIVE,1953-07-01 0:00:00,2025-06-30 0:00:00,2026-03-31 0:00:00,COUNTY,34.05627769,-118.2064778,"(-118.2064778,34.056277689)",19,LOS ANGELES,6037,YES,LEVEL II PED,LEVEL I,,,2026-01-16 0:00:00,106191228,6499125.086,1842926.951
151701,NOT LICENSED/NOT CERTIFIED,,,630017323,OPEN,0,,,,,,,,,,,,,"T.H.E. CLINIC, INC. AT LA BREA",FQHC,PRIMARY CARE CLINIC,NON-LTC,0,3721 S LA BREA AVE,LOS ANGELES,90016,,,RFERNANDEZ@TOHELPEVERYONE.ORG,,(323) 730-1920,200,LOS ANGELES,96,LA ICF/DD/CLINICS,Y,,PARENT,,,,,,,,,34.019298,-118.3561065,"(-118.3561065,34.019298)",19,LOS ANGELES,6037,,,,,,2026-01-16 0:00:00,,6453755.421,1829596.227
151715,LICENSED AND CERTIFIED,,,630001181,OPEN,CA630001181,751023,,2013-08-07 0:00:00,2013-12-16 0:00:00,1629283197,N,Y,0,,,,,ALTAMED GENERAL PEDIATRICS @ CHILDREN'S HOSPITAL,COMTYC,PRIMARY CARE CLINIC,NON-LTC,0,"4650 W SUNSET BLVD, MS #76",LOS ANGELES,90027,6062,"POPOFF, ALICIA",HKHALILI@ALTAMED.ORG,,(323) 671-2020,200,LOS ANGELES,96,LA ICF/DD/CLINICS,Y,,PARENT,,550000070,ALTAMED HEALTH SERVICES CORPORATION,ACTIVE,2005-09-13 0:00:00,2025-11-12 0:00:00,2026-11-11 0:00:00,NONPROFIT CORP,34.097868,-118.290636,"(-118.290636,34.097868)",19,LOS ANGELES,6037,,,,,,2026-01-16 0:00:00,306196681,6473677.613,1858125.43
151716,LICENSED AND CERTIFIED,,,630001201,OPEN,CA630001201,51045,,2006-02-23 0:00:00,2006-04-06 0:00:00,,N,Y,0,,,,,ARROYO VISTA FAMILY HEALTH CENTER-LINCOLN HEIGHTS,COMTYC,PRIMARY CARE CLINIC,NON-LTC,0,2411 N BROADWAY,LOS ANGELES,90031,2218,"ESTRADAS, J. LORRAINE",SMANCIA@ARROYOVISTA.ORG,(323) 254-4618,(323) 254-5291,200,LOS ANGELES,96,LA ICF/DD/CLINICS,Y,,PARENT,,550000082,ARROYO VISTA FAMILY HEALTH FOUNDATION,ACTIVE,2005-10-21 0:00:00,2025-11-21 0:00:00,2026-11-20 0:00:00,NONPROFIT CORP,34.073784,-118.2164355,"(-118.2164355,34.073784)",19,LOS ANGELES,6037,,,,,,2026-01-16 0:00:00,306196696,6496122.648,1849304.165
151718,LICENSED AND CERTIFIED,,,630002181,OPEN,CA630002181,551151,,2012-07-18 0:00:00,2012-10-23 0:00:00,,N,Y,0,,,,,UNITED AMERICAN INDIAN INVOLVEMENT INC.,COMTYC,PRIMARY CARE CLINIC,NON-LTC,0,1453 W TEMPLE ST,LOS ANGELES,90026,5648,"HARRISON, CHARLENE",CHARRISON@UAII.ORG,,(213) 202-3970,200,LOS ANGELES,96,LA ICF/DD/CLINICS,Y,,PARENT,,550000289,UNITED AMERICAN INDIAN INVOLVEMENT INC.,ACTIVE,2006-10-16 0:00:00,2024-11-16 0:00:00,2025-11-15 0:00:00,NONPROFIT CORP,34.067864,-118.257904,"(-118.257904,34.067863996)",19,LOS ANGELES,6037,,,,,,2026-01-16 0:00:00,306190792,6483559.075,1847179.401
151719,LICENSED ONLY,,,630002361,OPEN,CA630002361,,,,,,N,N,,,,,,PLANNED PARENTHOOD LOS ANGELES - DOROTHY HECHT CTR,COMTYC,PRIMARY CARE CLINIC,NON-LTC,0,8520 S BROADWAY,LOS ANGELES,90003,3335,"GUERRERO, BRENDA",BRENDA.GUERRERO@PP-LA.ORG,(213) 284-3352,(213) 284-3200,200,LOS ANGELES,96,LA ICF/DD/CLINICS,Y,,PARENT,,550000047,PLANNED PARENTHOOD LOS ANGELES,ACTIVE,2005-07-28 0:00:00,2025-11-28 0:00:00,2026-11-27 0:00:00,NONPROFIT CORP,33.960978,-118.27809,"(-118.27809,33.960978)",19,LOS ANGELES,6037,,,,,,2026-01-16 0:00:00,306196661,6477338.038,1808297.866
151723,LICENSED ONLY,,,630003621,OPEN,CA630003621,,,,,1689632374,N,N,,,,,,ORTHOPAEDIC INSTITUTE FOR CHILDREN,COMTYC,PRIMARY CARE CLINIC,NON-LTC,0,403 W ADAMS BLVD,LOS ANGELES,90007,2664,"SCADUTO, MD, ANTHONY A",JAMIEWELLS@MEDNET.UCLA.EDU,(213) 742-1435,(213) 742-1000,200,LOS ANGELES,96,LA ICF/DD/CLINICS,Y,,PARENT,,550000083,ORTHOPAEDIC HOSPITAL,ACTIVE,2005-10-19 0:00:00,2025-11-18 0:00:00,2026-11-17 0:00:00,NONPROFIT CORP,34.02715047,-118.2736678,"(-118.2736678,34.027150467)",19,LOS ANGELES,6037,,,,,,2026-01-16 0:00:00,306196744,6478744.597,1832375.629
151725,LICENSED AND CERTIFIED,,,630003681,OPEN,CA630003681,551069,,2011-01-24 0:00:00,2011-03-25 0:00:00,1013057371,N,Y,0,,,,,ST. JOHN'S COMMUNITY HEALTH,COMTYC,PRIMARY CARE CLINIC,NON-LTC,0,5701 S HOOVER ST,LOS ANGELES,90037,4045,"DUNN, JOSEPH",MARLOPEZ@WELLCHILD.ORG,(323) 541-1683,(323) 541-1400,200,LOS ANGELES,96,LA ICF/DD/CLINICS,N,630012176,INTERMITTENT CLINIC,09Dec2021,550001120,ST. JOHN'S COMMUNITY HEALTH,ACTIVE,2009-08-03 0:00:00,2025-11-03 0:00:00,2026-11-02 0:00:00,NONPROFIT CORP,33.990201,-118.2872565,"(-118.2872565,33.990201)",19,LOS ANGELES,6037,,,,,,2026-01-16 0:00:00,306196692,6474588.768,1818940.508
151726,LICENSED ONLY,,,630003701,OPEN,CA630003701,,,,,1740490937,N,N,,,,,,APLA DENTAL SERVICES,COMTYC,PRIMARY CARE CLINIC,NON-LTC,0,"1127 WILSHIRE BLVD, SUITE 1504",LOS ANGELES,90017,4006,"VITERO, STEVEN J",JSOH@APLAHEALTH.ORG,(213) 201-1398,(323) 329-9187,200,LOS ANGELES,96,LA ICF/DD/CLINICS,Y,,PARENT,,550000217,APLA HEALTH & WELLNESS,ACTIVE,2006-07-31 0:00:00,2025-12-01 0:00:00,2026-11-30 0:00:00,NONPROFIT CORP,34.053129,-118.2638115,"(-118.2638115,34.053129)",19,LOS ANGELES,6037,,,,,,2026-01-16 0:00:00,306196785,6481755.888,1841821.711
