Zip Code,Total Population,American Indian & Alaska Native,% American Indian & Alaska Native,Asian,% Asian,Black or African American,% Black or African American,Native Hawaiian & Other Pacific Islander,Native Hawaiian & Other Pacific Islander,White (Not Hispanic or Latino),% White (Not Hispanic or Latino),Some Other Race,% Some Other Race,Two or More Races,% Two or More Races,Hispanic or Latino,% Hispanic or Latino
*City of L.A.*,,40695,1.05,458721,11.82,332173,8.56,5709,0.15,1069141,27.55,952377,24.54,493491,12.72,1828315,47.11
90001,,1226,2.13,348,0.6,4295,7.45,13,0.02,373,0.65,23449,40.67,12037,20.88,52642,91.31
90002,,1974,3.72,611,1.15,8355,15.73,53,0.1,200,0.38,20939,39.43,8870,16.7,43766,82.41
90003,,598,0.8,350,0.47,12352,16.46,0,0,354,0.47,35695,47.58,13140,17.51,61179,81.55
90004,,741,1.26,14584,24.79,2619,4.45,68,0.12,12108,20.58,18307,31.12,5495,9.34,27410,46.59
90005,,640,1.7,12305,32.59,2006,5.31,14,0.04,3819,10.12,10808,28.63,4610,12.21,18603,49.27
90006,,985,1.74,10370,18.31,1669,2.95,118,0.21,2911,5.14,22976,40.57,7266,12.83,41030,72.46
90007,,466,1.14,7733,18.86,3535,8.62,43,0.1,6508,15.87,10676,26.04,5191,12.66,22109,53.92
90008,,337,1.02,991,3,21047,63.63,36,0.11,1867,5.64,5113,15.46,2423,7.33,8702,26.31
90010,,39,0.93,2775,66.31,230,5.5,69,1.65,700,16.73,178,4.25,91,2.17,329,7.86
90011,,2013,1.9,660,0.62,6092,5.74,287,0.27,801,0.76,52659,49.66,18685,17.62,97669,92.1
90012,,371,0.97,13807,35.93,5071,13.2,39,0.1,7160,18.63,6448,16.78,3467,9.02,10575,27.52
90013,,346,2.37,2055,14.09,4039,27.69,129,0.88,4023,27.58,1117,7.66,2152,14.75,3492,23.94
90014,,25,0.27,2210,23.83,1925,20.76,25,0.27,2531,27.29,1265,13.64,712,7.68,2372,25.58
90015,,637,2.49,5197,20.34,2315,9.06,0,0,3622,14.17,6239,24.41,2834,11.09,13400,52.44
90016,,98,0.21,2111,4.46,13028,27.54,34,0.07,4909,10.38,9882,20.89,7599,16.06,25816,54.57
90017,,238,0.83,5062,17.6,3699,12.86,0,0,3246,11.29,10476,36.43,1761,6.12,16444,57.19
90018,,273,0.55,3110,6.23,12125,24.3,88,0.18,3917,7.85,14828,29.72,5927,11.88,29284,58.69
90019,,339,0.57,10302,17.34,10624,17.88,195,0.33,10399,17.5,12808,21.56,7024,11.82,25847,43.51
90020,,306,0.8,17402,45.32,2718,7.08,25,0.07,4440,11.56,7812,20.34,2765,7.2,12925,33.66
90021,,86,3.09,195,7.01,595,21.4,0,0,547,19.67,778,27.98,342,12.3,1336,48.04
90023,,796,1.79,438,0.98,462,1.04,3,0.01,798,1.79,25894,58.11,5929,13.31,42657,95.73
90024,,160,0.32,13079,25.95,2305,4.57,128,0.25,24930,49.47,2576,5.11,4555,9.04,6599,13.1
90025,,73,0.16,10062,22.65,1542,3.47,30,0.07,24462,55.06,1526,3.43,3851,8.67,5626,12.66
90026,,764,1.18,8411,12.99,2449,3.78,267,0.41,19428,30,20833,32.17,6338,9.79,31425,48.52
90027,,121,0.26,5403,11.81,1600,3.5,31,0.07,26918,58.82,5387,11.77,3924,8.57,10063,21.99
90028,,380,1.23,4122,13.3,2773,8.95,0,0,13097,42.27,5210,16.82,3136,10.12,8898,28.72
90029,,243,0.7,5615,16.21,1094,3.16,87,0.25,9408,27.15,12994,37.5,2731,7.88,17692,51.06
90031,,551,1.47,10896,29.09,819,2.19,239,0.64,3099,8.27,15360,41.01,2438,6.51,22113,59.04
90032,,593,1.32,5670,12.63,1256,2.8,4,0.01,3997,8.91,19600,43.67,6023,13.42,33540,74.73
90033,,906,1.9,2151,4.51,907,1.9,61,0.13,1308,2.74,29454,61.81,4898,10.28,43099,90.44
90034,,501,0.91,10873,19.75,5161,9.37,129,0.23,21846,39.68,6523,11.85,6645,12.07,14246,25.87
90035,,60,0.23,1767,6.64,1899,7.14,43,0.16,17549,65.99,1769,6.65,2607,9.8,3541,13.31
90036,,140,0.37,7222,19.15,2388,6.33,24,0.06,20902,55.42,1477,3.92,3754,9.95,5146,13.65
90037,,1558,2.26,901,1.3,10654,15.43,90,0.13,1517,2.2,28713,41.57,8213,11.89,55159,79.87
90038,,426,1.52,1695,6.06,1910,6.83,101,0.36,8434,30.14,8877,31.73,3716,13.28,14620,52.25
90039,,542,1.92,5772,20.44,452,1.6,9,0.03,11795,41.76,3680,13.03,3658,12.95,8788,31.11
90041,,471,1.66,7148,25.24,574,2.03,31,0.11,9015,31.83,3830,13.52,4393,15.51,9902,34.96
90042,,1935,3.27,8408,14.21,1283,2.17,14,0.02,13105,22.16,15812,26.73,10733,18.15,34183,57.79
90043,,296,0.67,936,2.11,26642,59.92,119,0.27,2862,6.44,5480,12.33,5006,11.26,11744,26.41
90044,,995,1.01,899,0.91,30985,31.3,118,0.12,1175,1.19,32436,32.77,16664,16.83,65034,65.7
90045,,450,1.09,6130,14.91,3601,8.76,76,0.18,20329,49.43,1670,4.06,6036,14.68,8000,19.45
90046,,178,0.37,3348,6.95,2654,5.51,62,0.13,31745,65.9,2155,4.47,5700,11.83,7432,15.43
