NC_Name,Total Population,White_pop,Black_pop,Ameri_es_pop,Asian_pop,Hawn_pi_pop,Hispanic_pop,Other_pop,Multi_pop,In_Poverty,Owner_occ,Renter_occ,Lat,Long,Column 1,
ARLETA NC,"34,932.84",2882.67,409.67,67.64,4061.31,34.96,,37.58,245.05,"34,700.56",5590.27,2159.94,"34.2481° N, ",118.4324° W,,
ARROYO SECO NC,"21,711.47",4640.35,782.76,89.51,3215.37,25.38,,66.98,263.12,"21,582.85",4138.14,3235.61,34.10°N,118.19°W,,
ATWATER VILLAGE NC,"11,385.40",3450.7,127.8,0.15,2379.08,71.85,,0.37,252.76,"11,345.53",1877.3,2902.89,34.1162° N,118.2628° W,,
BEL AIR-BEVERLY CREST NC,"26,789.14",22024.61,349.63,0.02,1787.79,0.01,,156.92,946.28,"26,623.97",8939.21,1943.18,34.11° N,118.44° W,,
BOYLE HEIGHTS NC,"81,900.56",1562.2,640.97,63.63,2266.59,73.99,,90.3,98.5,"81,144.31",4743.28,16001.77,34.0443° N,118.2129° W,,
CANOGA PARK NC,"47,610.41",9635.07,1552.18,195.64,5932.33,69.39,,61.12,605.86,"47,127.90",5264.73,8970.22,34.2025° N,118.6013° W,,
CENTRAL ALAMEDA NC,"28,249.27",117.69,2400.73,37.97,259.14,22.77,,48.07,100.08,"28,100.25",1912.16,4389.37,34.0060° N,118.2390° W,,
CENTRAL HOLLYWOOD NC,"19,861.33",8700.96,1097.36,8.57,1179.26,81.56,,13.65,567.42,"19,808.73",679.64,9033.08,34.0984° N,118.3301° W,,
CENTRAL SAN PEDRO NC,"30,504.32",5667.14,2660.12,110.26,810.8,337.86,,51.09,828.38,"30,216.99",1966.03,8445.43,33.7397° N,118.2878° W,,
CHATSWORTH NC,"39,816.55",18689.38,1606.47,64.16,7239.56,20.55,,83.92,1348.13,"39,187.70",9160.98,4603.02,34.2572° N,118.5973° W,,
COASTAL SAN PEDRO NC,"27,675.86",14089.9,1494.19,46.43,1181.33,7.4,,71.33,804.25,"27,361.89",5139.16,5946.45,33.7212° N,118.2936° W,,
